title,artist
Heat Waves,Heat Waves
We Don't Talk About Bruno,We Don't Talk About Bruno
Super Gremlin,Super Gremlin
abcdefu,abcdefu
Stay,Stay
Easy On Me,Easy On Me
Ghost,Ghost
Bad Habits,Bad Habits
Shivers,Shivers
Thats What I Want,Thats What I Want
Cold Heart (PNAU Remix),Cold Heart (PNAU Remix)
Enemy,Enemy
Need To Know,Need To Know
Big Energy,Big Energy
Woman,Woman
Levitating,Levitating
Save Your Tears,Save Your Tears
Pushin P,Pushin P
Industry Baby,Industry Baby
Surface Pressure,Surface Pressure
One Right Now,One Right Now
I Hate U,I Hate U
Bam Bam,Bam Bam
Hrs And Hrs,Hrs And Hrs
'Til You Can't,'Til You Can't
MAMIII,MAMIII
Light Switch,Light Switch
Buy Dirt,Buy Dirt
You Right,You Right
Fancy Like,Fancy Like
Good 4 U,Good 4 U
Love Nwantiti (Ah Ah Ah),Love Nwantiti (Ah Ah Ah)
Sand In My Boots,Sand In My Boots
Ahhh Ha,Ahhh Ha
Fingers Crossed,Fingers Crossed
The Family Madrigal,The Family Madrigal
Doin' This,Doin' This
Knife Talk,Knife Talk
Essence,Essence
Beers On Me,Beers On Me
To Be Loved By You,To Be Loved By You
Boyfriend,Boyfriend
AA,AA
You Should Probably Leave,You Should Probably Leave
Never Say Never,Never Say Never
One Mississippi,One Mississippi
Drunk (And I Don't Wanna Go Home),Drunk (And I Don't Wanna Go Home)
Numb Little Bug,Numb Little Bug
She's All I Wanna Be,She's All I Wanna Be
Meet Me At Our Spot,Meet Me At Our Spot
What Else Can I Do?,What Else Can I Do?
Slow Down Summer,Slow Down Summer
I'm Tired,I'm Tired
Do We Have A Problem?,Do We Have A Problem?
Nail Tech,Nail Tech
Sacrifice,Sacrifice
Peru,Peru
Dos Oruguitas,Dos Oruguitas
23,23
Handsomer,Handsomer
Don't Play That,Don't Play That
Broadway Girls,Broadway Girls
Half Of My Hometown,Half Of My Hometown
Smokin Out The Window,Smokin Out The Window
Circles Around This Town,Circles Around This Town
Me Or Sum,Me Or Sum
Freaky Deaky,Freaky Deaky
Heart On Fire,Heart On Fire
Beautiful Lies,Beautiful Lies
Pressure,Pressure
The Motto,The Motto
Publicity Stunt,Publicity Stunt
War,War
If I Was A Cowboy,If I Was A Cowboy
P Power,P Power
High,High
Rocking A Cardigan In Atlanta,Rocking A Cardigan In Atlanta
Never Wanted To Be That Girl,Never Wanted To Be That Girl
Rumors,Rumors
Banking On Me,Banking On Me
I Hate YoungBoy,I Hate YoungBoy
Ay!,Ay!
Waiting On A Miracle,Waiting On A Miracle
Oh My God,Oh My God
I Love You So,I Love You So
By Your Side,By Your Side
To The Moon!,To The Moon!
Flower Shops,Flower Shops
Neighborhood Superstar,Neighborhood Superstar
City Of Gods,City Of Gods
Give Heaven Some Hell,Give Heaven Some Hell
Facetime,Facetime
Straight To It,Straight To It
Cigarettes,Cigarettes
Do It To It,Do It To It
Evil Twins,Evil Twins
Trust Nothing,Trust Nothing
Iffy,Iffy
Closer,Closer
When I'm Gone,When I'm Gone
